city,country,max_temp,humidity,cloudiness,wind_speed,lat,lon,date
Torbay,CA,32.0,74,90,9.17,47.67,-52.73,1607879851
Licheng,CN,73.0,88,90,8.95,23.3,113.83,1607879717
Urzhum,RU,8.67,94,68,6.29,57.11,50.0,1607879874
Etchoropo,MX,66.99,64,0,3.0,26.77,-109.67,1607879874
Ushuaia,AR,46.4,70,75,13.87,-54.8,-68.3,1607879874
São João da Barra,BR,86.0,66,0,16.11,-21.64,-41.05,1607879846
Qui Nhon,VN,75.13,91,41,5.41,13.77,109.23,1607879874
Atuona,PF,78.64,72,1,14.99,-9.8,-139.03,1607879707
Nanortalik,GL,30.11,97,100,19.69,60.14,-45.24,1607879622
Kamina,CD,67.21,97,89,4.88,-8.74,24.99,1607879735
Dawei,MM,74.91,86,57,2.71,14.08,98.2,1607879731
Chui,UY,72.9,88,100,7.56,-33.7,-53.46,1607879636
Kaa-Khem,RU,-0.45,89,100,0.63,51.68,94.73,1607879875
Kisaran,ID,74.01,90,100,3.13,2.98,99.62,1607879875
Sucre,BO,71.6,26,20,8.05,-19.03,-65.26,1607879875
Qaanaaq,GL,21.7,85,100,9.78,77.48,-69.36,1607879613
Saldanha,ZA,71.6,46,0,12.75,-33.01,17.94,1607879660
Saskylakh,RU,-22.83,84,100,18.01,71.92,114.08,1607879620
Celestún,MX,79.63,69,2,5.19,20.87,-90.4,1607879732
Douglas,US,28.4,74,90,9.17,41.3,-96.17,1607879817
Tagusao,PH,80.11,81,64,5.28,9.19,117.81,1607879876
Busselton,AU,52.0,95,1,11.43,-33.65,115.33,1607879623
Igunga,TZ,70.52,76,92,6.73,-4.28,33.88,1607879725
Tasiilaq,GL,35.6,74,100,38.03,65.61,-37.64,1607879640
Sernur,RU,9.37,95,29,7.74,56.93,49.15,1607879877
Bluff,NZ,51.01,79,86,8.99,-46.6,168.33,1607879394
Kavaratti,IN,82.63,65,43,2.3,10.57,72.64,1607879632
Mataura,NZ,51.01,79,78,8.01,-46.19,168.86,1607879700
Port Alfred,ZA,70.0,91,40,5.99,-33.59,26.89,1607879618
Port Elizabeth,ZA,69.8,83,0,18.34,-33.92,25.57,1607879571
Punta Arenas,CL,50.0,61,75,26.4,-53.15,-70.92,1607879699
Lebu,CL,58.82,61,3,17.29,-37.62,-73.65,1607879635
Arraial do Cabo,BR,82.4,74,75,9.17,-22.97,-42.03,1607879627
Rikitea,PF,76.05,75,34,11.56,-23.12,-134.97,1607879706
Arman',RU,-9.85,85,57,17.72,59.7,150.17,1607879878
Gwadar,PK,71.74,39,0,7.58,25.12,62.33,1607879878
Khovd,MN,-1.08,74,83,1.25,48.01,91.64,1607879878
Ponta do Sol,PT,66.0,82,75,4.7,32.67,-17.1,1607879638
Provost,CA,-5.8,76,0,4.7,52.35,-110.27,1607879878
Hilo,US,69.8,83,20,5.48,19.73,-155.09,1607879613
Port Lincoln,AU,71.49,65,11,14.36,-34.73,135.87,1607879718
Poum,NC,80.78,80,100,22.15,-20.23,164.02,1607879688
San Quintín,MX,63.95,30,0,5.39,30.48,-115.95,1607879670
Vaini,TO,78.8,88,75,8.05,-21.2,-175.2,1607879626
Camopi,GF,90.99,47,58,4.79,3.17,-52.32,1607879690
Kruisfontein,ZA,73.0,79,0,4.0,-34.0,24.73,1607879638
Port Macquarie,AU,68.0,88,75,8.05,-31.43,152.92,1607879616
San Patricio,US,77.0,83,90,19.46,28.02,-97.52,1607879641
